提拉	ti~la
展昭	zhan~zhao
张	zhang
菜	cai
国	guo
杨成希	yang~cheng~xi
欲	yu
下	xia
给	gei
生辟字	sheng~pi~zi
孠	si
问	wen
工艺	gong~yi
他妈	ta~ma
靠谱	kao~pu
没提	mei~ti
上号	shang~hao
包	bao
地	di
添加剂	tian~jia~ji
饭	fan
凡	fan
大胜	da~sheng
兼	jian
听我	ting~wo
姥	mu
啥	sha
哪的	na~de
花	hua
使劲	shi~jing
心	xin
玉门	yu~men
噢	o
娘娘	niang~niang
科技局	ke~ji~ju
与	yu
那蛤	na~ha
老汉	lao~han
晋级	jin~ji
呗	bai
还小	huan~xiao
啊	a
样	yang
插页	cha~ye
减	jian
面基	mian~ji
太久	tai~jiu
有号	you~hao
溜	liu
聊	liao
你那个	ni~na~ge
拴	shuan
听	ting
走	zou
宠妻	chong~qi
清洗	qing~xi
不开	bu~kai
挨骂	ai~ma
天	tian
你傻	ni~sha
买	mai
斩时	zhan~shi
快	kuai
留	liu
等	deng
德育	de~yu
思	si
利民	li~min
突围	tu~wei
百	bai
反胃	fan~wei
远	yuan
没有	mei~you
孩儿	hai~er
原理	yuan~li
跑了	pao~le
统计局	tong~ji~ju
也低	ye~di
朕	zhen
跟	gen
晶莹	jing~ying
开	kai
舅	jiu
生命的	sheng~ming~de
造的	zao~de
由于	you~yu
姜	jiang
不收	bu~shou
下午	xia~wu
货	huo
白	bai
六零	liu~ling
谢谢哥	xie~xie~ge
风险	feng~xian
是喔	shi~o
吃饭	chi~fan
生	sheng
啦	la
请	qing
吃	chi
中	zhong
致命	zhi~ming
出	chu
叩门	kou~men
停留	ting~liu
死死	si~si
多	duo
饥渴	ji~ke
防	fang
对	dui
明	ming
很	hen
比	bi
懂	dong
奖金	jiang~jin
迩	er
四发	si~fa
实体	shi~ti
共和国	gong~he~guo
情话	qing~hua
大碗	da~wan
用	yong
输	shu
告	gao
试玩	shi~wan
不熟	bu~shu
太漂亮了	tai~piao~liang~le
低价	di~jia
女	nv
那个	na~ge
归来吧	gui~lai~ba
饭饭	fan~fan
咋	zha
能	neng
娶	qu
哪个	na~ge
二	er
嗯	嗯
眼	yan
嗒嗒嗒嗒	ta~ta~ta~ta
新强	xin~qiang
莲	lian
带	dai
忍受	ren~shou
没事	mei~shi
邪望	xie~wang
单	dan
条码	tiao~ma
八零	ba~ling
国家级	guo~jia~ji
两	liang
找的	zhao~de
竟是	jing~shi
红	hong
月	yue
底子	di~zi
付	fu
听着	ting~zhao
雪	xue
潼	tong
谢谢	xie~xie
他也	ta~ye
水瓶	shui~ping
恩恩	en~en
莹	ying
难	nan
连	lian
合力科技	he~li~ke~ji
包含	bao~han
可以	ke~yi
主宰	zhu~zai
液态水	ye~tai~shui
效率	xiao~lv
别	bie
哄	hong
哈	ha
刚	gang
迷	mi
明天	ming~tian
跳楼	tiao~lou
莫	mo
邀你	yao~ni
管	guan
你妮	ni~ni
窜	cuan
场	chang
有可	you~ke
妹夫	mei~fu
他在	ta~zai
珊	shan
改	gai
或者是	huo~zhe~shi
分	fen
你们	ni~men
在玩	zai~wan
白板	bai~ban
默	mo
念	nian
同	tong
首都	shou~du
们	men
原阳	yuan~yang
消除	xiao~chu
出气	chu~qi
钓	diao
鱼	yu
后	hou
知道	zhi~dao
退旅进旅	tui~lv~jin~lv
公	gong
太	tai
抹	mo
成	cheng
业绩	ye~ji
头	tou
侯	hou
过度	guo~du
嗯那	嗯~na
吃饭钱	chi~fan~qian
凤	feng
让	rang
哈哈	ha~ha
安	an
嘴	zui
荆	jing
警	jing
储物	chu~wu
勺	shao
三	san
随即	sui~ji
怎	zen
给排水	gei~pai~shui
把姐	ba~jie
条码软件	tiao~ma~ruan~jian
济公	ji~gong
整	zheng
山	shan
一阵	yi~zhen
录	lu
我们	wo~men
够	gou
前来	qian~lai
懒猪	lan~zhu
瓷	ci
杨三毛	yang~san~mao
变	bian
韩	han
哇	wa
撤	che
莴苣	wo~ju
的哥	de~ge
缘起	yuan~qi
天乐	tian~le
竖式	shu~shi
慧儿	hui~er
回来	hui~lai
张玉	zhang~yu
口味	kou~wei
这个	zhe~ge
一个	yi~ge
墙	qiang
什么	shi~yao
婴儿	ying~er
大乔	da~qiao
桂	gui
拾柒	shi~qi
蒙	meng
瘾	yin
闲	xian
奇怪军	qi~guai~jun
精	jing
故障	gu~zhang
手机	shou~ji
据	ju
不啦	bu~la
延时	yan~shi
江	jiang
图片集锦	tu~pian~ji~jin
自己	zi~ji
非	fei
岗	gang
海外	hai~wai
犹豫	you~yu
你好	ni~hao
生得	sheng~de
抄	chao
包青天	bao~qing~tian
虫虫	chong~chong
呆子额	dai~zi~e
已发	yi~fa
现在	xian~zai
绅士	shen~shi
今天	jin~tian
宋	song
一心	yi~xin
免	mian
这款	zhe~kuan
晋中	jin~zhong
帮	bang
没话	mei~hua
妈逼	ma~bi
快去	kuai~qu
滴人	di~ren
真实的	zhen~shi~de
不试	bu~shi
拒收	ju~shou
国家队	guo~jia~dui
希望你们	xi~wang~ni~men
久了	jiu~le
带帽	dai~mao
朝	zhao
呵呵	he~he
武警	wu~jing
来啦	lai~la
我放	wo~fang
物质	wu~zhi
数学书	shu~xue~shu
全	quan
库	ku
图	tu
体	ti
小洋子	xiao~yang~zi
王路	wang~lu
一起	yi~qi
故	gu
互	hu
就是	jiu~shi
成交价	cheng~jiao~jia
不早	bu~zao
满	man
冲	chong
晚上	wan~shang
佩佩	pei~pei
累	lei
已投	yi~tou
宠物	chong~wu
干嘛	gan~ma
叶子	ye~zi
孟	meng
不要	bu~yao
前年	qian~nian
糖	tang
往	wang
檫	cha
太阳伞	tai~yang~san
护	hu
旋	xuan
一下	yi~xia
田医生	tian~yi~sheng
敢	gan
裤	ku
不是	bu~shi
时候	shi~hou
穿	chuan
鸡眼	ji~yan
天龙八部	tian~long~ba~bu
国际足联	guo~ji~zu~lian
挑	tiao
逃	tao
小红	xiao~hong
她那	ta~na
你些	ni~xie
时间	shi~jian
楼	lou
偏	pian
烂	lan
低于	di~yu
到来	dao~lai
韵	yun
那里	na~li
跳	tiao
醉玲珑	zui~ling~long
策马奔腾	ce~ma~ben~teng
拜拜	bai~bai
毛	mao
聚	ju
打雪仗	da~xue~zhang
多少	duo~shao
平	ping
剪指甲	jian~zhi~jia
陈	chen
幸福狐狸	xing~fu~hu~li
算	suan
拍	pai
初九	chu~jiu
裴	pei
病	bing
哼哼唧唧	heng~heng~ji~ji
在吗	zai~ma
国民	guo~min
几两	ji~liang
靠	kao
哈里	ha~li
猜对	cai~dui
片	pian
褥	ru
好的	hao~de
就之	jiu~zhi
要怪	yao~guai
徐	xu
这样	zhe~yang
怎么	zen~yao
痒了	yang~le
嘿	hei
咱	zan
顶	ding
楚楚	chu~chu
丁	ding
弄	nong
求	qiu
老师	lao~shi
谷	gu
乳房听	ru~fang~ting
淘	tao
参加活动	can~jia~huo~dong
俩	lia
秦	qin
破灭	po~mie
皮	pi
砍完了	kan~wan~le
记不	ji~bu
琴	qin
秘笈	mi~ji
虚	xu
牙科	ya~ke
哥哥	ge~ge
黄	huang
鞋	xie
退	tui
意思	yi~si
唱	chang
愁	chou
戏骨	xi~gu
包养	bao~yang
号码	hao~ma
卡	qia
群	qun
爸爸	ba~ba
喜欢	xi~huan
怕	pa
新娘大作战	xin~niang~da~zuo~zhan
快乐	kuai~le
云	yun
砖	zhuan
桌	zhuo
气温	qi~wen
亚楠	ya~nan
怀旧	huai~jiu
跑	pao
先借	xian~jie
岁	sui
看看	kan~kan
变性	bian~xing
要览	yao~lan
还迁	huan~qian
赔	pei
哼	heng
日	ri
回力	hui~li
小半	xiao~ban
不能	bu~neng
你喂	ni~wei
邋遢	la~ta
但你	dan~ni
懒	lan
告知	gao~zhi
党	dang
早上	zao~shang
妙妙	miao~miao
宁愿	ning~yuan
似滴	si~di
开开	kai~kai
我也	wo~ye
午睡	wu~shui
作业	zuo~ye
穿一	chuan~yi
蒙蔽	meng~bi
搞掂	gao~dian
不生	bu~sheng
伙食	huo~shi
盯	ding
是要	shi~yao
游戏	you~xi
吊	diao
操	cao
外	wai
出轨	chu~gui
本	ben
哟	yo
瓜皮	gua~pi
妮子	ni~zi
傻啊	sha~a
炎炎	yan~yan
璇	xuan
吸塑	xi~su
出来	chu~lai
尾数	wei~shu
鸡汤	ji~tang
一辆	yi~liang
战	zhan
好好	hao~hao
鱼缸	yu~gang
特里普拉	te~li~pu~la
拉屎了	la~shi~le
白白净净	bai~bai~jing~jing
林	lin
滚	gun
妙笔生花	miao~bi~sheng~hua
嘛嘛	ma~ma
五块	wu~kuai
我也有事	wo~ye~you~shi
喽	lou
直男	zhi~nan
站着呢	zhan~zhao~ni
可能	ke~neng
有小	you~xiao
腾	teng
记到	ji~dao
甘蔗	gan~zhe
叫的	jiao~de
乖	guai
帐上	zhang~shang
我一	wo~yi
教官	jiao~guan
清醒	qing~xing
好象	hao~xiang
竹叶	zhu~ye
铠甲勇士	kai~jia~yong~shi
忙	mang
宝宝	bao~bao
逛	guang
装	zhuang
害	hai
阿哥	a~ge
魔法世界	mo~fa~shi~jie
丑	chou
管理科	guan~li~ke
抱抱	bao~bao
是不是	shi~bu~shi
刁	diao
问起来	wen~qi~lai
晚安	wan~an
应该	ying~gai
不好	bu~hao
你是	ni~shi
笔芯	bi~xin
不知道	bu~zhi~dao
秀	xiu
回家	hui~jia
选	xuan
捡的	jian~de
老吴	lao~wu
两盒	liang~he
伯	bo
食品	shi~pin
真的	zhen~de
累点	lei~dian
如梦令	ru~meng~ling
光	guang
觉	jue
回收	hui~shou
木	mu
好看	hao~kan
冷	leng
拔尖	ba~jian
好喝	hao~he
扣	kou
给水	gei~shui
因为	yin~wei
我卖	wo~mai
杨家	yang~jia
口干	kou~gan
纯色	chun~se
琳	lin
与众	yu~zhong
试问	shi~wen
衣服	yi~fu
趟被窝	tang~bei~wo
活佛	huo~fo
双	shuang
罗	luo
假设	jia~she
太少了	tai~shao~le
原位	yuan~wei
习近平	xi~jin~ping
之下	zhi~xia
有力	you~li
规格	gui~ge
我是	wo~shi
生日	sheng~ri
要求者	yao~qiu~zhe
军	jun
土鸡土鸭	tu~ji~tu~ya
痛死了	tong~si~le
两字	liang~zi
私聊我	si~liao~wo
七零	qi~ling
好想	hao~xiang
不会	bu~hui
太神奇了	tai~shen~qi~le
学风	xue~feng
东西	dong~xi
草	cao
一样	yi~yang
从	cong
挂	gua
概说	gai~shuo
睡觉	shui~jue
果果	guo~guo
寡	gua
奶	nai
给我	gei~wo
在家	zai~jia
优酷视频	you~ku~shi~pin
铁四局	tie~si~ju
微信	wei~xin
摊	tan
刷	shua
我今	wo~jin
说话	shuo~hua
累得	lei~de
主意	zhu~yi
怂了	song~le
磊磊	lei~lei
临	lin
不行	bu~xing
宝贝	bao~bei
回去	hui~qu
周	zhou
我要你	wo~yao~ni
以后	yi~hou
塌了	ta~le
已经	yi~jing
歇会	xie~hui
部落	bu~luo
龙	long
你挺	ni~ting
死去	si~qu
所以	suo~yi
去去	qu~qu
治好	zhi~hao
他要	ta~yao
姐姐	jie~jie
新蕾	xin~lei
彭	peng
梧州	wu~zhou
热	re
学校	xue~xiao
多种	duo~zhong
幻时	huan~shi
端	duan
雄	xiong
段	duan
大不了	da~bu~le
院子	yuan~zi
素	su
聊天	liao~tian
为甚麽	wei~shen~mo
那就去	na~jiu~qu
宿	su
丧尸	sang~shi
开始	kai~shi
闲着呢	xian~zhao~ni
凛	lin
号称	hao~cheng
电话	dian~hua
告诉	gao~su
达成铁路	da~cheng~tie~lu
别人	bie~ren
总	zong
帅	shuai
好了	hao~le
影帝	ying~di
流量套餐	liu~liang~tao~can
寸心	cun~xin
名臣	ming~chen
车	che
纯	chun
针	zhen
不想	bu~xiang
号了	hao~le
搬运费	ban~yun~fei
再爱	zai~ai
上班	shang~ban
有人	you~ren
闯	chuang
这是	zhe~shi
奥	ao
泡	pao
我的	wo~de
哦哦	e~e
红警	hong~jing
几点	ji~dian
找回来了	zhao~hui~lai~le
行啊呵	xing~a~he
起来	qi~lai
渃	re
还有	huan~you
昨天	zuo~tian
嘿嘿	hei~hei
工夫	gong~fu
但是	dan~shi
朋友	peng~you
颗粒剂	ke~li~ji
天天	tian~tian
表	biao
这么	zhe~yao
西湖	xi~hu
段誉	duan~yu
廋腿	sou~tui
得来	de~lai
特马	te~ma
然	ran
四十四	si~shi~si
抽脂	chou~zhi
有事	you~shi
活力	huo~li
青椒	qing~jiao
直线	zhi~xian
谈	tan
有在	you~zai
闲话	xian~hua
还是	huan~shi
防止	fang~zhi
受受	shou~shou
过来	guo~lai
大家	da~jia
我啦	wo~la
坏	huai
在想	zai~xiang
间隙	jian~xi
莹莹	ying~ying
盘	pan
给你	gei~ni
嘻嘻	xi~xi
界面	jie~mian
牛	niu
如果	ru~guo
老了	lao~le
桥	qiao
椿	chun
收到	shou~dao
进不	jin~bu
出去	chu~qu
红包	hong~bao
赵丽颖	zhao~li~ying
模型	mo~xing
有呀	you~ya
射	she
你以为呢	ni~yi~wei~ni
空	kong
扫	sao
认识	ren~shi
原始	yuan~shi
保温	bao~wen
甩	shuai
点个	dian~ge
雪地	xue~di
耐斯	nai~si
美味	mei~wei
心向	xin~xiang
晴姐	qing~jie
以前	yi~qian
为什么	wei~shi~yao
容	rong
巧	qiao
不知	bu~zhi
租	zu
锅子	guo~zi
多大码	duo~da~ma
漂	piao
开心	kai~xin
金华	jin~hua
融	rong
却	que
床	chuang
可是	ke~shi
一会	yi~hui
五星	wu~xing
只是	zhi~shi
欠打	qian~da
呼叫	hu~jiao
是的	shi~de
骰子	tou~zi
名次	ming~ci
觉得	jue~de
更	geng
看到	kan~dao
镖	biao
额额	e~e
军嫂	jun~sao
索	suo
村	cun
好油快报	hao~you~kuai~bao
不用	bu~yong
一直	yi~zhi
厉害	li~hai
外面	wai~mian
秒	miao
照片	zhao~pian
新型	xin~xing
四号	si~hao
保真	bao~zhen
阿斯	a~si
听力	ting~li
嗨喽	hai~lou
转转	zhuan~zhuan
助威	zhu~wei
这局	zhe~ju
王力宏	wang~li~hong
拉我	la~wo
侠盗	xia~dao
电视	dian~shi
慧慧	hui~hui
扎	zha
希望	xi~wang
然后	ran~hou
有点	you~dian
以为	yi~wei
伤人	shang~ren
快递	kuai~di
还没	huan~mei
忽	hu
潜意识	qian~yi~shi
可爱	ke~ai
自已	zi~yi
老公	lao~gong
感觉	gan~jue
出去了么	chu~qu~le~yao
景观	jing~guan
闺房	gui~fang
活佛济公	huo~fo~ji~gong
再不	zai~bu
文文	wen~wen
好吧	hao~ba
代	dai
像样	xiang~yang
完了	wan~le
没缘	mei~yuan
吃饭了吗	chi~fan~le~ma
知恩	zhi~en
伍子胥	wu~zi~xu
旁	pang
我加	wo~jia
兵兵	bing~bing
兴业	xing~ye
我家	wo~jia
伤疤	shang~ba
偏科	pian~ke
吃完	chi~wan
学界	xue~jie
偶	ou
社	she
拼	pin
那要	na~yao
孩子	hai~zi
梧州市	wu~zhou~shi
泼	po
钟情	zhong~qing
瓢	piao
拉住	la~zhu
布置	bu~zhi
直属	zhi~shu
家里	jia~li
你呗	ni~bai
姆	mu
不行嘛	bu~xing~ma
岩浆	yan~jiang
玖月	jiu~yue
这下	zhe~xia
色	se
枣阳市	zao~yang~shi
您	nin
浪	lang
北街村	bei~jie~cun
北街	bei~jie
闹	nao
休息	xiu~xi
赚钱	zhuan~qian
喳	zha
清淡	qing~dan
更该	geng~gai
求浮鸥	qiu~fu~ou
直接	zhi~jie
图片	tu~pian
辫子	bian~zi
记得	ji~de
早点	zao~dian
富裕	fu~yu
描	miao
阶段	jie~duan
修真	xiu~zhen
没没	mei~mei
准备	zhun~bei
坤	kun
咯	ge
欢乐开怀	huan~le~kai~huai
反正	fan~zheng
名字	ming~zi
人物专访	ren~wu~zhuan~fang
世界	shi~jie
西贝	xi~bei
两个	liang~ge
俺也	an~ye
几位	ji~wei
都是	du~shi
三班	san~ban
舞神	wu~shen
信息	xin~xi
海盟	hai~meng
舌	she
过去	guo~qu
问问	wen~wen
怪	guai
色情电影院	se~qing~dian~ying~yuan
霉菌	mei~jun
娟	juan
生育	sheng~yu
爱你	ai~ni
肯定	ken~ding
内骨骼	nei~gu~ge
好玩吧	hao~wan~ba
捉	zhuo
随便	sui~bian
美女	mei~nv
只有	zhi~you
第一	di~yi
肉	rou
加油	jia~you
且	qie
前期	qian~qi
打不打	da~bu~da
清丰	qing~feng
地方	di~fang
我瞎	wo~xia
头像	tou~xiang
内	nei
体温	ti~wen
过年	guo~nian
消失	xiao~shi
你家	ni~jia
刚才	gang~cai
肥肥	fei~fei
刺绣	ci~xiu
我在	wo~zai
张丹	zhang~dan
问题	wen~ti
切	qie
关系	guan~xi
雪雪	xue~xue
算了	suan~le
什莫	shi~mo
联系	lian~xi
娘	niang
用这	yong~zhe
脱了	tuo~le
岁了	sui~le
快点	kuai~dian
姜山	jiang~shan
发了吗	fa~le~ma
专家	zhuan~jia
不欢	bu~huan
一泼	yi~po
干嘛呢	gan~ma~ni
数学	shu~xue
让他们	rang~ta~men
慢慢	man~man
呃呃	e~e
下载	xia~zai
干什么	gan~shi~yao
英语	ying~yu
呛了	qiang~le
女声	nv~sheng
练习	lian~xi
李豹	li~bao
艳萍	yan~ping
同学	tong~xue
还要继续	huan~yao~ji~xu
夜猫子	ye~mao~zi
独立	du~li
无聊	wu~liao
只和	zhi~he
涨了	zhang~le
你也	ni~ye
你呢	ni~ni
滥人	lan~ren
看重	kan~zhong
工作	gong~zuo
养胎	yang~tai
铁	tie
默认	mo~ren
之前	zhi~qian
确	que
麝香	she~xiang
那么	na~yao
这里	zhe~li
形式	xing~shi
同意	tong~yi
实施	shi~shi
哪不是	na~bu~shi
姨母	yi~mu
学习	xue~xi
住址	zhu~zhi
加注	jia~zhu
萱萱	xuan~xuan
你管	ni~guan
要是	yao~shi
咸盐	xian~yan
我敢	wo~gan
马力	ma~li
而定	er~ding
牛牛	niu~niu
那你	na~ni
大鹅	da~e
喜欢他	xi~huan~ta
支付宝里	zhi~fu~bao~li
学生	xue~sheng
没劲	mei~jing
在不	zai~bu
需要	xu~yao
师姐	shi~jie
其它	qi~ta
你认	ni~ren
衡阳	heng~yang
语文	yu~wen
八十年代	ba~shi~nian~dai
不值	bu~zhi
看见	kan~jian
中国	zhong~guo
嘚	de
女人	nv~ren
林林	lin~lin
白城	bai~cheng
谁呀	shui~ya
中午	zhong~wu
迎接	ying~jie
琪琪	qi~qi
拿着	na~zhao
眼气	yan~qi
实情	shi~qing
其他	qi~ta
惨	can
假意	jia~yi
奶奶	nai~nai
王者	wang~zhe
俺爹	an~die
其实	qi~shi
而	er
一中午	yi~zhong~wu
混	hun
宏达	hong~da
择	ze
费用低	fei~yong~di
凉气	liang~qi
那些	na~xie
戈尔	ge~er
牌匾	pai~bian
四盒	si~he
无言	wu~yan
打败	da~bai
没人	mei~ren
几重	ji~zhong
放放	fang~fang
座套	zuo~tao
拖	tuo
一波	yi~bo
套套	tao~tao
一定	yi~ding
新城	xin~cheng
写意	xie~yi
小平	xiao~ping
咋了	zha~le
一点	yi~dian
免费	mian~fei
辣辣	la~la
丹丹	dan~dan
气到	qi~dao
男朋友	nan~peng~you
记忆力	ji~yi~li
歇几天	xie~ji~tian
美克	mei~ke
对不起	dui~bu~qi
随机数	sui~ji~shu
睡觉了	shui~jue~le
抄答案神奇	chao~da~an~shen~qi
禁欲	jin~yu
洗澡	xi~zao
蒲	pu
两厢	liang~xiang
段正	duan~zheng
弟弟	di~di
个人	ge~ren
所有	suo~you
每天	mei~tian
英雄	ying~xiong
欧	ou
发表	fa~biao
魂	hun
不陪	bu~pei
被芯	bei~xin
小声	xiao~sheng
特	te
嗯马拉硫磷	嗯~ma~la~liu~lin
这些	zhe~xie
魁陆	kui~lu
考试	kao~shi
漂亮	piao~liang
南关	nan~guan
呈祥	cheng~xiang
叫醒	jiao~xing
最后	zui~hou
这要	zhe~yao
语音	yu~yin
敏	min
质料	zhi~liao
挺紧	ting~jin
说的	shuo~de
里面	li~mian
爹	die
打电话	da~dian~hua
密码	mi~ma
踆改	qun~gai
真行	zhen~xing
恐怖小说	kong~bu~xiao~shuo
越南	yue~nan
涂抹	tu~mo
买那个	mai~na~ge
媳妇	xi~fu
封	feng
厕	ce
胃镜	wei~jing
感冒	gan~mao
儿子	er~zi
饱	bao
要不	yao~bu
老婆	lao~po
吉	ji
扯	che
意识发	yi~shi~fa
温柔的	wen~rou~de
男生	nan~sheng
流星雨	liu~xing~yu
是对的	shi~dui~de
笑我	xiao~wo
体体	ti~ti
忍者	ren~zhe
来了	lai~le
加到	jia~dao
爱妹	ai~mei
着凉	zhao~liang
有没有	you~mei~you
王维	wang~wei
喜洋洋	xi~yang~yang
凯旋	kai~xuan
方面大耳	fang~mian~da~er
馆里	guan~li
吃了	chi~le
不再	bu~zai
那是	na~shi
生气	sheng~qi
只能	zhi~neng
我去	wo~qu
很放肆	hen~fang~si
亿言重昂	yi~yan~zhong~ang
神棍军嫂	shen~gun~jun~sao
你的	ni~de
放假	fang~jia
啥子	sha~zi
关注	guan~zhu
不说	bu~shuo
前者	qian~zhe
难受	nan~shou
餐	can
好嗨哟	hao~hai~yo
抬头	tai~tou
小偷	xiao~tou
下来了吗	xia~lai~le~ma
哪些	na~xie
家电	jia~dian
上坟	shang~fen
待嫁	dai~jia
百搭	bai~da
祖先	zu~xian
在线	zai~xian
星期	xing~qi
丞丞	cheng~cheng
本来	ben~lai
转了	zhuan~le
讶异	ya~yi
顺	shun
软件	ruan~jian
差不多	cha~bu~duo
玉溪	yu~xi
笋	sun
男人	nan~ren
的话	de~hua
事情	shi~qing
侧	ce
中的	zhong~de
医生	yi~sheng
师徒	shi~tu
明白	ming~bai
宽	kuan
好多	hao~duo
结核	jie~he
没啥	mei~sha
得分	de~fen
一般	yi~ban
办法	ban~fa
咕叽咕叽	gu~ji~gu~ji
噶	ge
裁决	cai~jue
消息	xiao~xi
上面	shang~mian
撒	sa
继续	ji~xu
瑜珈	yu~jia
不敢	bu~gan
追	zhui
心情	xin~qing
宁	ning
我要	wo~yao
闺蜜	gui~mi
磋商会	cuo~shang~hui
不过	bu~guo
相信	xiang~xin
杯子	bei~zi
只要	zhi~yao
选秀	xuan~xiu
爱死雯雯	ai~si~wen~wen
其实我介意	qi~shi~wo~jie~yi
只希望	zhi~xi~wang
了吗	le~ma
工资	gong~zi
我认	wo~ren
王馨	wang~xin
你爱	ni~ai
泽	ze
我网	wo~wang
航	hang
最近	zui~jin
很多	hen~duo
优秀	you~xiu
驿站	yi~zhan
能了	neng~le
忘记	wang~ji
卡卡	qia~qia
偷情	tou~qing
马上	ma~shang
询问处	xun~wen~chu
下班	xia~ban
十足	shi~zu
而起	er~qi
他不在	ta~bu~zai
穷	qiong
想象	xiang~xiang
己	ji
几校	ji~xiao
阖家欢乐	ge~jia~huan~le
爱喝	ai~he
順	shun
嘎	ga
我想	wo~xiang
生笑	sheng~xiao
认输	ren~shu
再说	zai~shuo
茵曼	yin~man
我娃	wo~wa
喝酒	he~jiu
打折	da~zhe
我爸	wo~ba
乱	luan
多少钱	duo~shao~qian
到店	dao~dian
猜谜	cai~mi
先娇妻	xian~jiao~qi
上国	shang~guo
马杰	ma~jie
尴尬	gan~ga
不亏	bu~yu
不错	bu~cuo
我充值	wo~chong~zhi
起床	qi~chuang
老者	lao~zhe
你定	ni~ding
外采	wai~cai
一半	yi~ban
酒酒	jiu~jiu
单双屏	dan~shuang~ping
赵倩霞	zhao~qian~xia
那天	na~tian
不肿	bu~zhong
喝到	he~dao
我会取得	wo~hui~qu~de
蝶	die
到底	dao~di
医疗	yi~liao
图库	tu~ku
交待	jiao~dai
发给我了	fa~gei~wo~le
对象	dui~xiang
第二	di~er
她不	ta~bu
九十几	jiu~shi~ji
